x,sdev
-70.055,0.0070667
-69.843,0.0067765
-69.418,0.0066936
-68.888,0.0062791
-68.676,0.0052428
-68.357,0.0051599
-67.933,0.0052842
-67.297,0.00545
-67.084,0.0052427
-66.766,0.0057401
-66.66,0.0047038
-66.024,0.0045794
-65.599,0.0047452
-65.175,0.0043721
-64.857,0.0047866
-64.326,0.0041233
-63.796,0.0043306
-63.371,0.0039989
-62.841,0.0039574
-62.205,0.003833
-61.886,0.0040403
-61.038,0.0037915
-60.401,0.0034184
-59.871,0.0036671
-59.34,0.0037085
-58.704,0.0030453
-57.961,0.0033768
-57.537,0.0032524
-56.688,0.0030037
-55.946,0.0031694
-55.309,0.0028378
-54.673,0.0030035
-54.036,0.0036253
-53.506,0.0030449
-52.975,0.0027133
-51.914,0.0029205
-51.066,0.002879
-50.641,0.0024644
-49.581,0.0025473
-48.838,0.0026716
-48.202,0.0023399
-47.565,0.0023399
-46.504,0.0022983
-45.443,0.0021739
-44.701,0.0020081
-44.064,0.0022567
-43.11,0.002008
-41.943,0.0023395
-41.2,0.0025882
-40.457,0.0023394
-39.715,0.0019663
-39.078,0.0025466
-38.018,0.0020491
-37.275,0.0018832
-36.214,0.002049
-35.259,0.0021318
-34.092,0.0020488
-33.35,0.002256
-32.713,0.0019244
-31.653,0.0019243
-30.486,0.0020072
-29.637,0.0018827
-28.576,0.002007
-27.834,0.0019241
-27.091,0.0018826
-25.924,0.0019654
-24.969,0.0019653
-23.909,0.0016751
-23.166,0.0015922
-22.105,0.001675
-21.15,0.0016749
-19.559,0.0016334
-18.817,0.0017162
-17.331,0.001426
-16.801,0.0019234
-15.74,0.001716
-14.467,0.0016331
-13.618,0.0019232
-12.558,0.0016329
-11.179,0.0015499
-9.906,0.0014255
-8.951,0.0014255
-7.784,0.0015083
-6.087,0.0015496
-5.132,0.0015496
-3.753,0.001508
-2.692,0.0013421
-1.207,0.0016322
0.066,0.0015907
1.127,0.0015906
2.824,0.0015076
4.097,0.0016319
5.158,0.001466
6.431,0.0015488
7.386,0.0018389
8.765,0.0015487
9.826,0.0014242
10.675,0.0013827
12.16,0.0015899
13.433,0.0014655
14.388,0.0017141
15.448,0.0014239
16.509,0.0015896
17.782,0.0015481
19.267,0.0016309
20.54,0.0014235
21.707,0.0015478
22.768,0.0016306
24.253,0.0017549
25.42,0.0017134
26.163,0.0014646
27.118,0.0015475
27.966,0.0016718
28.709,0.0014645
30.088,0.0017131
31.361,0.0017959
32.316,0.0019202
33.164,0.0017543
34.013,0.0017128
34.862,0.0020029
36.347,0.0020443
37.302,0.0018784
38.15,0.0019198
38.999,0.0018369
40.378,0.0019197
41.333,0.0023756
42.287,0.0020024
43.242,0.0020024
44.197,0.0024583
45.258,0.0020437
46.106,0.0022094
47.167,0.0020436
47.91,0.0025409
48.865,0.0024165
49.395,0.002002
50.031,0.0021263
50.774,0.0025822
51.835,0.002665
52.577,0.0024992
53.32,0.0026235
54.275,0.0025405
55.123,0.0027892
56.184,0.0026233
57.139,0.0027476
57.882,0.0030792
58.306,0.0026646
58.942,0.0034107
59.367,0.003162
60.322,0.0032862
60.852,0.0035764
61.382,0.0039079
61.913,0.0041566
62.443,0.003825
62.868,0.0040736
63.292,0.0041151
63.716,0.0040321
64.671,0.0039077
65.201,0.0040735
65.626,0.0040735
65.944,0.0049439
66.262,0.0039905
66.474,0.0049439
67.005,0.0055242
67.323,0.0048195
67.535,0.0051511
67.747,0.0061873
67.96,0.0053168
68.702,0.0057313
69.339,0.0058971
69.551,0.006353
69.763,0.0073478
69.975,0.0069747
